Year,CountyCode,County,HarvestedAcres,Yield,Production,Price
2018,39,Madera,34800.0,11.15,388000.0,323.02
2018,41,Marin,195.0,1.96,382.0,3201.57
2018,43,Mariposa,73.0,0.52,38.0,1263.16
2018,45,Mendocino,16700.0,4.9,81900.0,1684.4
2018,47,Merced,13400.0,9.7,130000.0,392.85
2018,53,Monterey,44900.0,4.01,180000.0,1376.43
2018,55,Napa,43400.0,4.26,185000.0,5614.05
2018,57,Nevada,416.0,4.52,1880.0,1284.57
2018,61,Placer,293.0,3.65,1070.0,1355.14
2018,65,Riverside,2310.0,3.81,8800.0,1623.52
2018,67,Sacramento,36400.0,8.79,320000.0,583.68
2018,69,SanBenito,4740.0,4.77,22600.0,1500.66
2018,71,SanBernardino,223.0,0.35,78.0,1205.13
2018,73,SanDiego,1640.0,2.0,3280.0,1399.7
2018,77,SanJoaquin,97200.0,7.73,751000.0,573.23
2018,79,SanLuisObispo,42900.0,4.13,177000.0,1559.33
2018,81,SanMateo,126.0,,,
2018,83,SantaBarbara,16200.0,3.65,59100.0,2052.57
2018,85,SantaClara,1670.0,3.74,6250.0,1797.6
2018,87,SantaCruz,630.0,2.27,1430.0,2934.97
2018,89,Shasta,170.0,2.6,442.0,1138.01
2018,95,Solano,3720.0,6.45,24000.0,1225.17
2018,97,Sonoma,59900.0,4.61,276000.0,2817.66
2018,103,Tehama,141.0,5.16,728.0,1837.91
2018,105,Trinity,44.0,1.93,85.0,1729.41
2018,107,Tulare,8410.0,17.72,149000.0,314.0
2018,113,Yolo,14800.0,6.53,96600.0,865.38
2017,1,Alameda,2420.0,5.08,12300.0,1447.32
2017,5,Amador,4570.0,3.54,16200.0,1418.7
2017,9,Calaveras,683.0,2.94,2010.0,1479.1
2017,11,Colusa,1670.0,10.42,17400.0,773.1
2017,13,ContraCosta,2550.0,5.06,12900.0,924.03
2017,17,ElDorado,2340.0,2.53,5930.0,1503.2
2017,19,Fresno,59700.0,13.32,795000.0,361.02
2017,29,Kern,32200.0,8.6,277000.0,311.22
2017,31,Kings,3600.0,15.64,56300.0,287.14
2017,33,Lake,8230.0,5.65,46500.0,1691.27
2017,39,Madera,36800.0,10.65,392000.0,304.11
2017,41,Marin,195.0,1.49,291.0,3072.16
2017,43,Mariposa,73.0,0.52,38.0,1263.16
2017,45,Mendocino,16900.0,3.39,57300.0,1540.79
2017,47,Merced,13600.0,10.37,141000.0,349.32
2017,53,Monterey,44300.0,3.86,171000.0,1397.82
2017,55,Napa,43600.0,3.26,142000.0,5287.55
2017,57,Nevada,416.0,3.65,1520.0,1287.5
2017,61,Placer,270.0,3.01,814.0,1371.01
2017,65,Riverside,2530.0,3.44,8700.0,1520.34
2017,67,Sacramento,35300.0,7.79,275000.0,618.84
2017,69,SanBenito,4380.0,4.86,21300.0,1460.89
2017,71,SanBernardino,268.0,1.69,454.0,663.0
2017,73,SanDiego,1210.0,2.3,2780.0,1386.33
2017,77,SanJoaquin,98100.0,6.79,666000.0,593.91
2017,79,SanLuisObispo,42200.0,3.89,164000.0,1632.09
2017,81,SanMateo,164.0,,,
2017,83,SantaBarbara,21600.0,3.37,72700.0,2010.04
2017,85,SantaClara,1600.0,3.44,5510.0,1827.04
2017,87,SantaCruz,638.0,2.35,1500.0,3226.67
2017,89,Shasta,170.0,2.5,425.0,1134.12
2017,95,Solano,4110.0,4.62,19000.0,1072.05
2017,97,Sonoma,60000.0,3.43,206000.0,2807.34
2017,105,Trinity,44.0,1.93,85.0,1729.41
2017,107,Tulare,9450.0,17.35,164000.0,308.0
2017,113,Yolo,14800.0,6.89,102000.0,843.25
2016,1,Alameda,2630.0,4.83,12700.0,1432.2
2016,5,Amador,4260.0,3.17,13500.0,1335.41
2016,9,Calaveras,696.0,2.89,2010.0,1375.62
2016,11,Colusa,1390.0,10.36,14400.0,542.15
2016,13,ContraCosta,2500.0,5.04,12600.0,1096.03
2016,17,ElDorado,2340.0,2.58,6030.0,1449.59
2016,19,Fresno,75500.0,10.0,755000.0,382.85
2016,29,Kern,29700.0,7.85,233000.0,298.54
