,Film,Year,Body_Count,MPAA_Rating,Genre,Director,Length_Minutes,IMDB_Rating,Film_Count,Body_Count_Min
797,Minority Report,2002,4.0,PG-13,Sci-Fi,Steven Spielberg,145,7.7,1,0.027586206896551724
798,Minority Report,2002,4.0,PG-13,Thriller,Steven Spielberg,145,7.7,1,0.027586206896551724
799,Missing in Action,1984,100.0,R,Action,Joseph Zito,101,5.1,1,0.9900990099009901
800,Missing in Action,1984,100.0,R,Adventure,Joseph Zito,101,5.1,1,0.9900990099009901
801,Missing in Action,1984,100.0,R,Drama,Joseph Zito,101,5.1,1,0.9900990099009901
802,Missing in Action,1984,100.0,R,Thriller,Joseph Zito,101,5.1,1,0.9900990099009901
803,Missing in Action,1984,100.0,R,War,Joseph Zito,101,5.1,1,0.9900990099009901
804,Mission: Impossible,1996,9.0,PG-13,Action,Brian De Palma,110,7.0,1,0.08181818181818182
805,Mission: Impossible,1996,9.0,PG-13,Adventure,Brian De Palma,110,7.0,1,0.08181818181818182
806,Mission: Impossible,1996,9.0,PG-13,Thriller,Brian De Palma,110,7.0,1,0.08181818181818182
807,Mission: Impossible II,2000,37.0,PG-13,Action,John Woo,123,5.9,1,0.3008130081300813
808,Mission: Impossible II,2000,37.0,PG-13,Adventure,John Woo,123,5.9,1,0.3008130081300813
809,Mission: Impossible II,2000,37.0,PG-13,Thriller,John Woo,123,5.9,1,0.3008130081300813
810,Mission: Impossible III,2006,23.0,PG-13,Action,J.J. Abrams,126,6.8,1,0.18253968253968253
811,Mission: Impossible III,2006,23.0,PG-13,Adventure,J.J. Abrams,126,6.8,1,0.18253968253968253
812,Mission: Impossible III,2006,23.0,PG-13,Thriller,J.J. Abrams,126,6.8,1,0.18253968253968253
813,Mongol: The Rise of Genghis Khan,2007,200.0,R,Biography,Sergey Bodrov,126,7.3,1,1.5873015873015872
814,Mongol: The Rise of Genghis Khan,2007,200.0,R,Drama,Sergey Bodrov,126,7.3,1,1.5873015873015872
815,Mongol: The Rise of Genghis Khan,2007,200.0,R,History,Sergey Bodrov,126,7.3,1,1.5873015873015872
816,Monty Python and the Holy Grail,1975,48.0,PG,Adventure,Terry Gilliam|Terry Jones,91,8.4,1,0.5274725274725275
817,Monty Python and the Holy Grail,1975,48.0,PG,Comedy,Terry Gilliam|Terry Jones,91,8.4,1,0.5274725274725275
818,Monty Python and the Holy Grail,1975,48.0,PG,Fantasy,Terry Gilliam|Terry Jones,91,8.4,1,0.5274725274725275
819,Mortal Kombat,1995,11.0,PG-13,Action,Paul W.S. Anderson,101,5.6,1,0.10891089108910891
820,Mortal Kombat,1995,11.0,PG-13,Adventure,Paul W.S. Anderson,101,5.6,1,0.10891089108910891
821,Mortal Kombat,1995,11.0,PG-13,Fantasy,Paul W.S. Anderson,101,5.6,1,0.10891089108910891
822,Mortal Kombat,1995,11.0,PG-13,Sci-Fi,Paul W.S. Anderson,101,5.6,1,0.10891089108910891
823,Mortal Kombat,1995,11.0,PG-13,Thriller,Paul W.S. Anderson,101,5.6,1,0.10891089108910891
824,Mr. & Mrs. Smith,2005,43.0,PG-13,Action,Doug Liman,120,6.4,1,0.35833333333333334
825,Mr. & Mrs. Smith,2005,43.0,PG-13,Comedy,Doug Liman,120,6.4,1,0.35833333333333334
826,Mr. & Mrs. Smith,2005,43.0,PG-13,Romance,Doug Liman,120,6.4,1,0.35833333333333334
827,Mr. Brooks,2007,9.0,R,Crime,Bruce A. Evans,120,7.4,1,0.075
828,Mr. Brooks,2007,9.0,R,Drama,Bruce A. Evans,120,7.4,1,0.075
829,Mr. Brooks,2007,9.0,R,Mystery,Bruce A. Evans,120,7.4,1,0.075
830,Mr. Brooks,2007,9.0,R,Thriller,Bruce A. Evans,120,7.4,1,0.075
831,Mulan,1998,43.0,G,Animation,Tony Bancroft|Barry Cook,88,7.4,1,0.48863636363636365
832,Mulan,1998,43.0,G,Adventure,Tony Bancroft|Barry Cook,88,7.4,1,0.48863636363636365
833,Mulan,1998,43.0,G,Family,Tony Bancroft|Barry Cook,88,7.4,1,0.48863636363636365
834,Munich,2005,49.0,R,Drama,Steven Spielberg,164,7.6,1,0.29878048780487804
835,Munich,2005,49.0,R,History,Steven Spielberg,164,7.6,1,0.29878048780487804
836,Munich,2005,49.0,R,Thriller,Steven Spielberg,164,7.6,1,0.29878048780487804
837,Mutant Chronicles,2008,310.0,R,Action,Simon Hunter,111,5.2,1,2.7927927927927927
838,Mutant Chronicles,2008,310.0,R,Adventure,Simon Hunter,111,5.2,1,2.7927927927927927
